"period","censusdate","era","oera","plot","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","tinygran_e","oplottype","fplottype","fplot","total_e_ma","dipo_e_ma","smgran_e_ma","pb_e_ma","pp_e_ma","tinygran_e_ma"
119,1988-02-21,"a_pre_pb","a_pre_pb",3,"EE",465.588339149651,88.7995411482622,376.788798001389,0,0,376.788798001389,"EE","EE","3",465.588339149651,88.7995411482622,376.788798001389,0,0,376.788798001389
119,1988-02-21,"a_pre_pb","a_pre_pb",4,"CC",704.017276171537,704.017276171537,0,0,0,0,"CC","CC","4",704.017276171537,704.017276171537,0,0,0,0
119,1988-02-21,"a_pre_pb","a_pre_pb",11,"CC",682.261467443342,622.501803935384,59.7596635079572,0,0,59.7596635079572,"CC","CC","11",682.261467443342,622.501803935384,59.7596635079572,0,0,59.7596635079572
119,1988-02-21,"a_pre_pb","a_pre_pb",14,"CC",97.2079476020466,97.2079476020466,0,0,0,0,"CC","CC","14",97.2079476020466,97.2079476020466,0,0,0,0
119,1988-02-21,"a_pre_pb","a_pre_pb",15,"EE",152.69860549646,0,152.69860549646,0,0,152.69860549646,"EE","EE","15",152.69860549646,0,152.69860549646,0,0,152.69860549646
119,1988-02-21,"a_pre_pb","a_pre_pb",17,"CC",354.277059780066,232.954067583577,121.322992196489,0,0,121.322992196489,"CC","CC","17",354.277059780066,232.954067583577,121.322992196489,0,0,121.322992196489
119,1988-02-21,"a_pre_pb","a_pre_pb",19,"EE",233.577656986202,0,233.577656986202,0,0,233.577656986202,"EE","EE","19",233.577656986202,0,233.577656986202,0,0,233.577656986202
119,1988-02-21,"a_pre_pb","a_pre_pb",20,"EE",409.500356537643,316.008947395529,93.491409142114,0,0,93.491409142114,"EE","EE","20",409.500356537643,316.008947395529,93.491409142114,0,0,93.491409142114
119,1988-02-21,"a_pre_pb","a_pre_pb",21,"EE",125.315500098449,0,125.315500098449,0,0,125.315500098449,"EE","EE","21",125.315500098449,0,125.315500098449,0,0,125.315500098449
120,1988-03-20,"a_pre_pb","a_pre_pb",3,"EE",473.358283455823,182.674386420467,290.683897035356,0,53.8126975522807,290.683897035356,"EE","EE","3",469.473311302737,135.736963784364,333.736347518372,0,26.9063487761404,333.736347518372
120,1988-03-20,"a_pre_pb","a_pre_pb",4,"CC",940.517459978538,940.517459978538,0,0,0,0,"CC","CC","4",822.267368075038,822.267368075038,0,0,0,0
120,1988-03-20,"a_pre_pb","a_pre_pb",11,"CC",729.689792445877,679.965725187613,49.7240672582641,0,49.7240672582641,49.7240672582641,"CC","CC","11",705.975629944609,651.233764561499,54.7418653831106,0,24.862033629132,54.7418653831106
120,1988-03-20,"a_pre_pb","a_pre_pb",14,"CC",393.474609756835,327.109188886188,66.3654208706477,0,0,66.3654208706477,"CC","CC","14",245.341278679441,212.158568244117,33.1827104353239,0,0,33.1827104353239
120,1988-03-20,"a_pre_pb","a_pre_pb",15,"EE",215.861950545732,0,215.861950545732,0,0,215.861950545732,"EE","EE","15",184.280278021096,0,184.280278021096,0,0,184.280278021096
120,1988-03-20,"a_pre_pb","a_pre_pb",17,"CC",368.116984222983,236.046877660745,132.070106562239,0,0,132.070106562239,"CC","CC","17",361.197022001525,234.500472622161,126.696549379364,0,0,126.696549379364
120,1988-03-20,"a_pre_pb","a_pre_pb",19,"EE",68.6830388757866,0,68.6830388757866,0,0,68.6830388757866,"EE","EE","19",151.130347930995,0,151.130347930995,0,0,151.130347930995
120,1988-03-20,"a_pre_pb","a_pre_pb",20,"EE",89.325770793158,0,89.325770793158,0,0,89.325770793158,"EE","EE","20",249.4130636654,158.004473697764,91.408589967636,0,0,91.408589967636
120,1988-03-20,"a_pre_pb","a_pre_pb",21,"EE",68.5216967743119,0,68.5216967743119,0,0,68.5216967743119,"EE","EE","21",96.9185984363806,0,96.9185984363806,0,0,96.9185984363806
121,1988-04-17,"a_pre_pb","a_pre_pb",3,"EE",382.448613058051,0,382.448613058051,0,113.618508420325,382.448613058051,"EE","EE","3",440.465078554508,90.4913091895763,349.973769364932,0,55.8104019908687,349.973769364932
121,1988-04-17,"a_pre_pb","a_pre_pb",4,"CC",294.644392043173,267.578038105712,27.0663539374619,0,0,27.0663539374619,"CC","CC","4",646.393042731083,637.370924751929,9.02211797915398,0,0,9.02211797915398
121,1988-04-17,"a_pre_pb","a_pre_pb",11,"CC",345.683737548006,289.865420589263,55.8183169587426,0,55.8183169587426,55.8183169587426,"CC","CC","11",585.878332479075,530.777649904087,55.100682574988,0,35.1807947390022,55.100682574988
121,1988-04-17,"a_pre_pb","a_pre_pb",14,"CC",247.240127290209,210.554309817754,36.6858174724557,0,0,36.6858174724557,"CC","CC","14",245.974228216364,211.623815435329,34.3504127810345,0,0,34.3504127810345
121,1988-04-17,"a_pre_pb","a_pre_pb",15,"EE",34.3681994673169,0,34.3681994673169,0,0,34.3681994673169,"EE","EE","15",134.309585169836,0,134.309585169836,0,0,134.309585169836
121,1988-04-17,"a_pre_pb","a_pre_pb",17,"CC",354.063043516075,354.063043516075,0,0,0,0,"CC","CC","17",358.819029173042,274.354662920132,84.4643662529092,0,0,84.4643662529092
121,1988-04-17,"a_pre_pb","a_pre_pb",19,"EE",97.5124525143085,0,97.5124525143085,0,0,97.5124525143085,"EE","EE","19",133.257716125433,0,133.257716125433,0,0,133.257716125433
121,1988-04-17,"a_pre_pb","a_pre_pb",20,"EE",74.7538451814357,0,74.7538451814357,0,0,74.7538451814357,"EE","EE","20",191.193324170745,105.33631579851,85.8570083722359,0,0,85.8570083722359
