"date","ndvi"
1984-04-01,0.166699187565559
1984-05-01,0.145935351224863
1984-06-01,0.134992344621853
1984-07-01,0.149520854371352
1984-11-01,0.158685496413468
1984-12-01,0.15573197958023
1985-04-01,0.181415584785498
1985-07-01,0.154286775664755
1985-08-01,0.192646370930884
1985-09-01,0.207191240594595
1985-10-01,0.199190917575399
1985-11-01,0.190705987111731
1985-12-01,0.164730167159306
1986-01-01,0.160991872108291
1986-02-01,0.123501372642169
1986-03-01,0.137583111521802
1986-04-01,0.118301413278136
1986-05-01,0.139467120375951
1986-06-01,0.137998589018392
1986-07-01,0.159182817370806
1986-08-01,0.195499318142123
1986-09-01,0.196964827464341
1986-10-01,0.185748281402991
1986-11-01,0.147936013327032
1986-12-01,0.150965880128243
1987-01-01,0.13800163564353
1987-02-01,0.145368338466782
1987-03-01,0.123183388843142
1987-04-01,0.186233795543276
1987-05-01,0.175981906161173
1987-06-01,0.151461578914492
1987-07-01,0.157756161863722
1987-08-01,0.209625999694903
1987-09-01,0.210446419443858
1987-10-01,0.191238095362834
1988-02-01,0.116644109954599
1988-03-01,0.134643928154529
1988-04-01,0.156549359210387
1988-05-01,0.133595809764552
1988-06-01,0.137311533574414
1988-07-01,0.168899272230573
1988-08-01,0.276762938174409
1988-09-01,0.249923427853239
1988-10-01,0.180197489141751
1989-04-01,0.140900380834177
1989-05-01,0.13212729844864
1989-06-01,0.127798804091846
1989-07-01,0.135067923894402
1989-08-01,0.304356042499078
1989-09-01,0.251401240185768
1989-10-01,0.217629928584163
1990-03-01,0.091078224007107
1990-04-01,0.106591318382233
1990-05-01,0.111238585885849
1990-06-01,0.12360979063818
1990-07-01,0.137169859960336
1990-08-01,0.313765769436069
1990-09-01,0.221499071664657
1990-10-01,0.182423482331354
1991-03-01,0.130362859662083
1991-04-01,0.156183111491248
1991-05-01,0.151493985973184
1991-06-01,0.137219398547204
1991-07-01,0.154034309384473
1991-08-01,0.202001061860691
1991-09-01,0.1451026340605
1991-10-01,0.164739501397207
1992-03-01,0.164263353025427
1992-04-01,0.230163272331322
