"period","heske_trtmnt","type","year","month","nind","biomass","energy"
42,"exclosure_1977","small_granivore",1981,1,4,39,125.107136357022
43,"exclosure_1977","small_granivore",1981,1,3,30,95.8180320428572
43,"exclosure_1977","small_granivore",1981,2,1,8,27.0663539374619
44,"exclosure_1977","small_granivore",1981,3,7,72,224.92144323678
45,"exclosure_1977","small_granivore",1981,5,5,55,166.643277641216
46,"exclosure_1977","small_granivore",1981,6,4,59,168.798224709066
47,"exclosure_1977","small_granivore",1981,7,3,37,108.639535024387
48,"exclosure_1977","small_granivore",1981,7,0,0,0
49,"exclosure_1977","small_granivore",1981,8,1,9,29.5661072852007
50,"exclosure_1977","small_granivore",1981,9,1,16,45.52
50,"exclosure_1977","small_granivore",1981,10,0,0,0
51,"exclosure_1977","small_granivore",1981,10,3,57,155.31860345725
52,"exclosure_1977","small_granivore",1981,11,8,95,285.486312346678
53,"exclosure_1977","small_granivore",1981,12,18,236,694.411878473328
53,"exclosure_1977","small_granivore",1982,1,6,82,238.766013311092
54,"exclosure_1977","small_granivore",1982,1,16,201.899749373,594.492231213088
55,"exclosure_1977","small_granivore",1982,2,30,360.7079252,1079.4625574707
56,"exclosure_1977","small_granivore",1982,3,26,284,871.801172058347
57,"exclosure_1977","small_granivore",1982,4,12,155,454.543221642318
58,"exclosure_1977","small_granivore",1982,5,10,155,436.373708512403
59,"exclosure_1977","small_granivore",1982,6,20,259,752.720335989665
60,"exclosure_1977","small_granivore",1982,7,23,292,857.688566883199
61,"exclosure_1977","small_granivore",1982,8,19,222,669.425074551001
62,"exclosure_1977","small_granivore",1982,9,8,104,303.722301785079
63,"exclosure_1977","small_granivore",1982,11,19,189,592.087373553815
64,"exclosure_1977","small_granivore",1983,1,12,137,414.03495864111
65,"exclosure_1977","small_granivore",1983,2,6,54,173.2715968148
66,"exclosure_1977","small_granivore",1983,3,18,154,502.376566651917
67,"exclosure_1977","small_granivore",1983,4,18,171,542.277941938476
68,"exclosure_1977","small_granivore",1983,5,13,131,410.97431621999
69,"exclosure_1977","small_granivore",1983,6,10,111,336.511744242668
70,"exclosure_1977","small_granivore",1983,7,8,108,313.464131084138
71,"exclosure_1977","small_granivore",1983,8,5,69,200.546341230316
72,"exclosure_1977","small_granivore",1983,9,5,91,249.435771345267
73,"exclosure_1977","small_granivore",1983,10,7,103,292.376935692992
74,"exclosure_1977","small_granivore",1983,11,8,79,249.086522245702
75,"exclosure_1977","small_granivore",1983,12,6,66,200.6052955878
76,"exclosure_1977","small_granivore",1984,2,8,85,261.484090628768
77,"exclosure_1977","small_granivore",1984,3,3,50,139.565843723164
78,"exclosure_1977","small_granivore",1984,4,7,94,276.89957661412
79,"exclosure_1977","small_granivore",1984,5,7,114,318.972423211383
80,"exclosure_1977","small_granivore",1984,7,4,51,152.340702107271
81,"exclosure_1977","small_granivore",1984,7,3,47,133.350472373128
81,"exclosure_1977","small_granivore",1984,8,3,53,146.824946536431
82,"exclosure_1977","small_granivore",1984,8,1,7,24.4870121320489
83,"exclosure_1977","small_granivore",1984,9,2,23,70.4354839924583
84,"exclosure_1977","small_granivore",1984,10,2,19,61.4345534047788
85,"exclosure_1977","small_granivore",1984,12,2,32,91.04
86,"exclosure_1977","small_granivore",1985,1,9,76,245.61189978661
87,"exclosure_1977","small_granivore",1985,2,4,22,81.2114276304262
88,"exclosure_1977","small_granivore",1985,3,7,106,300.855240957366
89,"exclosure_1977","small_granivore",1985,5,7,79,238.904358030135
90,"exclosure_1977","small_granivore",1985,6,6,84,243.975198566108
91,"exclosure_1977","small_granivore",1985,7,5,80,226.137355773022
92,"exclosure_1977","small_granivore",1985,8,3,59,158.079310285197
93,"exclosure_1977","small_granivore",1985,9,3,47,134.339580966921
94,"exclosure_1977","small_granivore",1985,10,1,21,55.8183169587426
95,"exclosure_1977","small_granivore",1985,11,5,50,159.683699565766
96,"exclosure_1977","small_granivore",1985,12,7,100,287.823000067374
97,"exclosure_1977","small_granivore",1986,3,8,113.61851292,327.56575523756
98,"exclosure_1977","small_granivore",1986,4,3,53,147.05683769209
99,"exclosure_1977","small_granivore",1986,5,8,116,335.580470563668
100,"exclosure_1977","small_granivore",1986,6,7,130,354.66496341236
101,"exclosure_1977","small_granivore",1986,7,8,139,383.153647281626
102,"exclosure_1977","small_granivore",1986,8,3,56,153.260832068809
103,"exclosure_1977","small_granivore",1986,9,4,64,180.659423289328
104,"exclosure_1977","small_granivore",1986,10,1,25,63.616133959869
105,"exclosure_1977","small_granivore",1986,11,4,77,207.306733887621
106,"exclosure_1977","small_granivore",1986,12,10,172.72923441,475.156776963358
107,"exclosure_1977","small_granivore",1987,1,8,134.7079252,372.446375324095
107,"exclosure_1977","small_granivore",1987,2,8,121,341.737902302405
108,"exclosure_1977","small_granivore",1987,3,16,227,651.386023379673
109,"exclosure_1977","small_granivore",1987,4,11,175,488.799281085169
110,"exclosure_1977","small_granivore",1987,4,15,238,674.398856160074
111,"exclosure_1977","small_granivore",1987,5,15,273.98281643,748.461497664298
112,"exclosure_1977","small_granivore",1987,6,10,151,428.163586542589
112,"exclosure_1977","small_granivore",1987,7,7,113,315.409981250627
113,"exclosure_1977","small_granivore",1987,7,19,259.72923441,760.306693589215
114,"exclosure_1977","small_granivore",1987,8,16,259,730.106112184351
115,"exclosure_1977","small_granivore",1987,9,9,162.61851292,447.293021149933
116,"exclosure_1977","small_granivore",1987,10,11,192,526.419423217118
117,"exclosure_1977","small_granivore",1987,11,24,362,1029.14270272851
118,"exclosure_1977","small_granivore",1988,1,21,251,759.020919669
119,"exclosure_1977","small_granivore",1988,2,21,297,854.012361115184
120,"exclosure_1977","small_granivore",1988,3,14,215,607.06476575873
121,"exclosure_1977","small_granivore",1988,4,11,200,541.395618977138
122,"exclosure_1977","small_granivore",1988,5,6,106,292.517003886448
123,"exclosure_1977","small_granivore",1988,6,8,133,369.875804126649
124,"exclosure_1977","small_granivore",1988,7,5,99,266.879340489134
125,"exclosure_1977","small_granivore",1988,8,10,139.33206832,407.776291460083
126,"exclosure_1977","small_granivore",1988,9,4,82,218.020495125843
127,"exclosure_1977","small_granivore",1988,10,2,38,103.128793562954
128,"exclosure_1977","small_granivore",1988,11,5,76,215.429664423911
129,"exclosure_1977","small_granivore",1988,12,11,135.72923441,409.280590765482
130,"exclosure_1977","small_granivore",1989,1,15,195,576.542228512463
131,"exclosure_1977","small_granivore",1989,2,18,255,736.162316442578
132,"exclosure_1977","small_granivore",1989,3,17,263,744.407269370184
133,"exclosure_1977","small_granivore",1989,4,18,241,705.614727258396
134,"exclosure_1977","small_granivore",1989,5,15,206,594.446279497539
135,"exclosure_1977","small_granivore",1989,6,16,218.72923441,637.966191724732
136,"exclosure_1977","small_granivore",1989,7,10,127.72923441,379.931218184063
137,"exclosure_1977","small_granivore",1989,7,7,98,286.876049913627
138,"exclosure_1977","small_granivore",1989,9,3,55,150.799663507957
139,"exclosure_1977","small_granivore",1989,10,6,106,290.07355365106
140,"exclosure_1977","small_granivore",1989,11,17,217.72923441,644.628136701969
141,"exclosure_1977","small_granivore",1989,12,24,290,872.215273319394
142,"exclosure_1977","small_granivore",1990,1,7,77,238.209923257308
143,"exclosure_1977","small_granivore",1990,1,12,140,423.696462327943
144,"exclosure_1977","small_granivore",1990,2,14,160,488.960505259351
145,"exclosure_1977","small_granivore",1990,3,14,159,484.392431274726
146,"exclosure_1977","small_granivore",1990,4,17,206,618.677215866668
147,"exclosure_1977","small_granivore",1990,5,11,130,390.955357131186
148,"exclosure_1977","small_granivore",1990,6,7,68,216.97346989123
149,"exclosure_1977","small_granivore",1990,7,5,56,172.721949351574
150,"exclosure_1977","small_granivore",1990,8,7,69,218.274394638407
151,"exclosure_1977","small_granivore",1990,9,3,67,174.793313233947
152,"exclosure_1977","small_granivore",1990,10,8,88.98281643,272.685984181959
153,"exclosure_1977","small_granivore",1990,11,12,161,469.43652944823
154,"exclosure_1977","small_granivore",1990,12,13,153.72923441,467.191689603369
155,"exclosure_1977","small_granivore",1991,1,13,141.72923441,441.095873850548
1,"exclosure_1988","small_granivore",1977,7,1,7.899749373,26.8115703456281
2,"exclosure_1988","small_granivore",1977,8,1,7.899749373,26.8115703456281
3,"exclosure_1988","small_granivore",1977,9,0,0,0
4,"exclosure_1988","small_granivore",1977,10,1,20,53.8126975522807
5,"exclosure_1988","small_granivore",1977,11,1,7,24.4870121320489
6,"exclosure_1988","small_granivore",1977,12,1,7,24.4870121320489
7,"exclosure_1988","small_granivore",1978,1,1,8,27.0663539374619
8,"exclosure_1988","small_granivore",1978,2,0,0,0
9,"exclosure_1988","small_granivore",1978,3,1,8,27.0663539374619
10,"exclosure_1988","small_granivore",1978,4,0,0,0
11,"exclosure_1988","small_granivore",1978,5,0,0,0
12,"exclosure_1988","small_granivore",1978,6,1,17,47.6374995226924
13,"exclosure_1988","small_granivore",1978,7,0,0,0
14,"exclosure_1988","small_granivore",1978,8,2,19,60.7691070680789
15,"exclosure_1988","small_granivore",1978,9,2,24,72.5863539374619
16,"exclosure_1988","small_granivore",1978,10,4,50,148.306721816378
17,"exclosure_1988","small_granivore",1978,11,0,0,0
18,"exclosure_1988","small_granivore",1978,12,0,0,0
19,"exclosure_1988","small_granivore",1979,1,0,0,0
20,"exclosure_1988","small_granivore",1979,2,0,0,0
21,"exclosure_1988","small_granivore",1979,3,1,7,24.4870121320489
22,"exclosure_1988","small_granivore",1979,4,2,32,90.737428135816
23,"exclosure_1988","small_granivore",1979,5,1,20,53.8126975522807
24,"exclosure_1988","small_granivore",1979,7,1,9,29.5661072852007
25,"exclosure_1988","small_granivore",1979,7,3,25,83.3768462674993
26,"exclosure_1988","small_granivore",1979,8,0,0,0
27,"exclosure_1988","small_granivore",1979,9,0,0,0
28,"exclosure_1988","small_granivore",1979,10,0,0,0
29,"exclosure_1988","small_granivore",1979,11,1,20,53.8126975522807
30,"exclosure_1988","small_granivore",1980,1,0,0,0
31,"exclosure_1988","small_granivore",1980,2,2,20,63.7521714099177
32,"exclosure_1988","small_granivore",1980,3,2,14.899749373,51.2985824776769
33,"exclosure_1988","small_granivore",1980,4,1,8,27.0663539374619
34,"exclosure_1988","small_granivore",1980,5,1,6,21.8135175789677
35,"exclosure_1988","small_granivore",1980,6,2,14,48.9740242640977
36,"exclosure_1988","small_granivore",1980,7,1,7,24.4870121320489
37,"exclosure_1988","small_granivore",1980,8,2,16,53.8107389822986
38,"exclosure_1988","small_granivore",1980,9,2,18,59.1322145704015
39,"exclosure_1988","small_granivore",1980,10,3,33,101.277433327775
40,"exclosure_1988","small_granivore",1980,11,1,7,24.4870121320489
41,"exclosure_1988","small_granivore",1980,12,1,7,24.4870121320489
42,"exclosure_1988","small_granivore",1981,1,2,27,78.8481925841668
43,"exclosure_1988","small_granivore",1981,1,2,49,125.314078766349
43,"exclosure_1988","small_granivore",1981,2,1,7,24.4870121320489
44,"exclosure_1988","small_granivore",1981,3,0,0,0
45,"exclosure_1988","small_granivore",1981,5,1,18,49.7240672582641
46,"exclosure_1988","small_granivore",1981,6,0,0,0
47,"exclosure_1988","small_granivore",1981,7,1,5,19.0256616765792
48,"exclosure_1988","small_granivore",1981,7,0,0,0
49,"exclosure_1988","small_granivore",1981,8,0,0,0
50,"exclosure_1988","small_granivore",1981,9,0,0,0
50,"exclosure_1988","small_granivore",1981,10,0,0,0
51,"exclosure_1988","small_granivore",1981,10,3,60,161.117282975877
52,"exclosure_1988","small_granivore",1981,11,4,60,169.069627834734
53,"exclosure_1988","small_granivore",1981,12,3,38,112.302550494122
53,"exclosure_1988","small_granivore",1982,1,0,0,0
54,"exclosure_1988","small_granivore",1982,1,5,76,215.300889140159
55,"exclosure_1988","small_granivore",1982,2,9,126,362.726327291868
56,"exclosure_1988","small_granivore",1982,3,6,91,260.319752376819
57,"exclosure_1988","small_granivore",1982,4,2,30,86.1500381140217
58,"exclosure_1988","small_granivore",1982,5,10,148,422.594028351251
59,"exclosure_1988","small_granivore",1982,6,4,44,134.980186458392
60,"exclosure_1988","small_granivore",1982,7,5,71,204.640194278726
61,"exclosure_1988","small_granivore",1982,8,2,41,109.483730766221
62,"exclosure_1988","small_granivore",1982,9,3,31,97.3637984905128
63,"exclosure_1988","small_granivore",1982,11,4,69,187.139391171041
64,"exclosure_1988","small_granivore",1983,1,5,54,164.422421643184
65,"exclosure_1988","small_granivore",1983,2,2,19,61.5633286885316
66,"exclosure_1988","small_granivore",1983,3,5,46,150.064236030772
67,"exclosure_1988","small_granivore",1983,4,4,46,141.061029071821
68,"exclosure_1988","small_granivore",1983,5,6,121,320.359927278305
69,"exclosure_1988","small_granivore",1983,6,1,8,27.0663539374619
70,"exclosure_1988","small_granivore",1983,7,1,5,19.0256616765792
71,"exclosure_1988","small_granivore",1983,8,2,20,63.7521714099177
72,"exclosure_1988","small_granivore",1983,9,2,25,74.7038534601543
73,"exclosure_1988","small_granivore",1983,10,0,0,0
74,"exclosure_1988","small_granivore",1983,11,0,0,0
75,"exclosure_1988","small_granivore",1983,12,1,21,55.8183169587426
76,"exclosure_1988","small_granivore",1984,2,0,0,0
77,"exclosure_1988","small_granivore",1984,3,0,0,0
78,"exclosure_1988","small_granivore",1984,4,1,9,29.5661072852007
79,"exclosure_1988","small_granivore",1984,5,3,51,139.726310501291
80,"exclosure_1988","small_granivore",1984,7,2,41,108.884361165974
81,"exclosure_1988","small_granivore",1984,7,4,61,173.625740388753
81,"exclosure_1988","small_granivore",1984,8,2,32,91.0066295776888
82,"exclosure_1988","small_granivore",1984,8,2,29,84.5512114992246
83,"exclosure_1988","small_granivore",1984,9,2,35,97.3615667809565
84,"exclosure_1988","small_granivore",1984,10,1,12,36.6858174724557
85,"exclosure_1988","small_granivore",1984,12,0,0,0
86,"exclosure_1988","small_granivore",1985,1,0,0,0
87,"exclosure_1988","small_granivore",1985,2,2,44.98281643,117.52599210685
88,"exclosure_1988","small_granivore",1985,3,2,36,99.187447013739
89,"exclosure_1988","small_granivore",1985,5,1,14,41.1820814442282
90,"exclosure_1988","small_granivore",1985,6,0,0,0
91,"exclosure_1988","small_granivore",1985,7,1,20,53.8126975522807
92,"exclosure_1988","small_granivore",1985,8,0,0,0
93,"exclosure_1988","small_granivore",1985,9,2,39,105.437690984275
94,"exclosure_1988","small_granivore",1985,10,1,18,49.7240672582641
95,"exclosure_1988","small_granivore",1985,11,2,33,92.9639200909331
96,"exclosure_1988","small_granivore",1985,12,1,13,38.9555894891111
97,"exclosure_1988","small_granivore",1986,3,1,20,53.8126975522807
98,"exclosure_1988","small_granivore",1986,4,0,0,0
99,"exclosure_1988","small_granivore",1986,5,4,76,206.239511716915
100,"exclosure_1988","small_granivore",1986,6,1,24,61.6979448064802
101,"exclosure_1988","small_granivore",1986,7,1,17,47.6374995226924
102,"exclosure_1988","small_granivore",1986,8,2,31,87.8155383620735
103,"exclosure_1988","small_granivore",1986,9,2,37,101.450197074973
104,"exclosure_1988","small_granivore",1986,10,0,0,0
105,"exclosure_1988","small_granivore",1986,11,1,21,55.8183169587426
106,"exclosure_1988","small_granivore",1986,12,0,0,0
107,"exclosure_1988","small_granivore",1987,1,5,84,231.531202340809
107,"exclosure_1988","small_granivore",1987,2,0,0,0
108,"exclosure_1988","small_granivore",1987,3,3,48,134.198269986764
109,"exclosure_1988","small_granivore",1987,4,3,71,183.031492876201
110,"exclosure_1988","small_granivore",1987,4,3,63,167.283922227804
111,"exclosure_1988","small_granivore",1987,5,4,79,212.872209139717
112,"exclosure_1988","small_granivore",1987,6,2,40,106.985264014865
112,"exclosure_1988","small_granivore",1987,7,3,27,87.7087005523658
113,"exclosure_1988","small_granivore",1987,7,8,134,371.041644281703
114,"exclosure_1988","small_granivore",1987,8,5,100,266.14113872891
115,"exclosure_1988","small_granivore",1987,9,5,110,288.20253583726
116,"exclosure_1988","small_granivore",1987,10,6,111,299.567477338137
117,"exclosure_1988","small_granivore",1987,11,9,165,448.5379144932
118,"exclosure_1988","small_granivore",1988,1,7,115,319.379623353996
119,"exclosure_1988","small_granivore",1988,2,10,199.72923441,532.876871267744
120,"exclosure_1988","small_granivore",1988,3,6,99,273.171407933278
121,"exclosure_1988","small_granivore",1988,4,4,106,265.207998938496
122,"exclosure_1988","small_granivore",1988,5,5,107,281.956403575808
123,"exclosure_1988","small_granivore",1988,6,9,199,518.765702868642
124,"exclosure_1988","small_granivore",1988,7,7,167,428.865626964651
125,"exclosure_1988","small_granivore",1988,8,14,270,725.242231312372
126,"exclosure_1988","small_granivore",1988,9,6,123,327.721309772193
127,"exclosure_1988","small_granivore",1988,10,9,164,450.587169448707
128,"exclosure_1988","small_granivore",1988,11,10,182,499.082380305048
129,"exclosure_1988","small_granivore",1988,12,9,134,383.690094760674
130,"exclosure_1988","small_granivore",1989,1,11,163,467.13257042232
131,"exclosure_1988","small_granivore",1989,2,18,239.71205084,705.125727500905
132,"exclosure_1988","small_granivore",1989,3,16,254,711.892655826958
133,"exclosure_1988","small_granivore",1989,4,11,136,409.726884165111
134,"exclosure_1988","small_granivore",1989,5,16,270,750.254345411988
135,"exclosure_1988","small_granivore",1989,6,14,183,540.550890367975
136,"exclosure_1988","small_granivore",1989,7,5,68,199.120457772946
137,"exclosure_1988","small_granivore",1989,7,7,130,353.710602612421
138,"exclosure_1988","small_granivore",1989,9,6,92,258.964450418327
139,"exclosure_1988","small_granivore",1989,10,9,141,398.154202984793
140,"exclosure_1988","small_granivore",1989,11,11,141,415.713690958941
141,"exclosure_1988","small_granivore",1989,12,8,102,304.946362139426
142,"exclosure_1988","small_granivore",1990,1,12,127,396.774707845725
143,"exclosure_1988","small_granivore",1990,1,13,144,442.090516061107
144,"exclosure_1988","small_granivore",1990,2,10,128.98281643,380.449488388544
145,"exclosure_1988","small_granivore",1990,3,8,116,331.679162693505
146,"exclosure_1988","small_granivore",1990,4,11,140,415.123684670426
147,"exclosure_1988","small_granivore",1990,5,3,50,139.148137393488
148,"exclosure_1988","small_granivore",1990,6,6,69,209.741275221157
149,"exclosure_1988","small_granivore",1990,7,10,142,410.198140194003
150,"exclosure_1988","small_granivore",1990,8,7,125,341.650914794479
151,"exclosure_1988","small_granivore",1990,9,6,92,261.696560370726
152,"exclosure_1988","small_granivore",1990,10,4,66,183.625520552374
153,"exclosure_1988","small_granivore",1990,11,4,35,115.487672822028
154,"exclosure_1988","small_granivore",1990,12,13,169,499.199426866875
155,"exclosure_1988","small_granivore",1991,1,13,154,466.118595863494
1,"control","small_granivore",1977,7,2,35.23702584,97.8631518855269
2,"control","small_granivore",1977,8,4,47.518262293,143.599288475437
3,"control","small_granivore",1977,9,1,16,45.52
4,"control","small_granivore",1977,10,1,8,27.0663539374619
5,"control","small_granivore",1977,11,2,13,46.3005297110166
6,"control","small_granivore",1977,12,1,6,21.8135175789677
7,"control","small_granivore",1978,1,0,0,0
8,"control","small_granivore",1978,2,0,0,0
9,"control","small_granivore",1978,3,0,0,0
10,"control","small_granivore",1978,4,0,0,0
11,"control","small_granivore",1978,5,2,22,67.8561421870452
12,"control","small_granivore",1978,6,2,23,70.4354839924583
13,"control","small_granivore",1978,7,2,26,77.5172214033309
14,"control","small_granivore",1978,8,1,18,49.7240672582641
15,"control","small_granivore",1978,9,4,54,158.985863517506
16,"control","small_granivore",1978,10,2,21,65.1826476339641
17,"control","small_granivore",1978,11,0,0,0
18,"control","small_granivore",1978,12,0,0,0
19,"control","small_granivore",1979,1,0,0,0
20,"control","small_granivore",1979,2,0,0,0
21,"control","small_granivore",1979,3,0,0,0
22,"control","small_granivore",1979,4,0,0,0
23,"control","small_granivore",1979,5,0,0,0
24,"control","small_granivore",1979,7,0,0,0
25,"control","small_granivore",1979,7,1,16,45.52
26,"control","small_granivore",1979,8,0,0,0
27,"control","small_granivore",1979,9,1,14,41.1820814442282
28,"control","small_granivore",1979,10,1,16,45.52
29,"control","small_granivore",1979,11,3,34,104.652214570401
30,"control","small_granivore",1980,1,2,18,59.0635753407928
31,"control","small_granivore",1980,2,2,23,70.0070121320489
32,"control","small_granivore",1980,3,3,32.899749373,101.897677630829
33,"control","small_granivore",1980,4,1,8,27.0663539374619
34,"control","small_granivore",1980,5,1,8,27.0663539374619
35,"control","small_granivore",1980,6,1,7,24.4870121320489
36,"control","small_granivore",1980,7,1,7,24.4870121320489
37,"control","small_granivore",1980,8,1,13,38.9555894891111
38,"control","small_granivore",1980,9,3,37,111.541943426573
39,"control","small_granivore",1980,10,1,16,45.52
40,"control","small_granivore",1980,11,1,7,24.4870121320489
41,"control","small_granivore",1980,12,1,7,24.4870121320489
42,"control","small_granivore",1981,1,2,25,75.5502809115451
43,"control","small_granivore",1981,1,2,27,80.0549475274521
43,"control","small_granivore",1981,2,0,0,0
44,"control","small_granivore",1981,3,1,6,21.8135175789677
45,"control","small_granivore",1981,5,1,12,36.6858174724557
46,"control","small_granivore",1981,6,2,39,105.542384217007
47,"control","small_granivore",1981,7,4,42,130.392796436598
48,"control","small_granivore",1981,7,2,33,93.0931973132604
49,"control","small_granivore",1981,8,0,0,0
50,"control","small_granivore",1981,9,2,30,86.7020814442282
50,"control","small_granivore",1981,10,1,20,53.8126975522807
51,"control","small_granivore",1981,10,3,23,78.4459788016304
52,"control","small_granivore",1981,11,1,7,24.4870121320489
53,"control","small_granivore",1981,12,4,38,122.30155479894
53,"control","small_granivore",1982,1,0,0,0
54,"control","small_granivore",1982,1,4,57,164.384346573345
55,"control","small_granivore",1982,2,5,68,200.094916807613
56,"control","small_granivore",1982,3,3,42,121.7344982141
57,"control","small_granivore",1982,4,6,75,224.678747020382
58,"control","small_granivore",1982,5,4,65,179.691861489258
59,"control","small_granivore",1982,6,4,75.899749373,203.28622714801
60,"control","small_granivore",1982,7,5,60,180.36729437153
61,"control","small_granivore",1982,8,10,160,449.936716760151
62,"control","small_granivore",1982,9,2,30,84.2466756400061
63,"control","small_granivore",1982,11,9,71,237.467818987984
64,"control","small_granivore",1983,1,9,86,271.915124324028
65,"control","small_granivore",1983,2,4,52,152.11704130211
66,"control","small_granivore",1983,3,11,105,331.949276595042
67,"control","small_granivore",1983,4,7,101,283.43036929936
68,"control","small_granivore",1983,5,9,111,331.849550987679
69,"control","small_granivore",1983,6,3,38,112.667909151646
70,"control","small_granivore",1983,7,3,43,125.105627603133
71,"control","small_granivore",1983,8,5,56,171.191346903261
72,"control","small_granivore",1983,9,4,35,114.643117840375
73,"control","small_granivore",1983,10,1,9,29.5661072852007
74,"control","small_granivore",1983,11,0,0,0
75,"control","small_granivore",1983,12,1,7,24.4870121320489
76,"control","small_granivore",1984,2,1,10,31.9972214033309
77,"control","small_granivore",1984,3,1,11,34.3681994673169
78,"control","small_granivore",1984,4,2,35,96.0661442737971
79,"control","small_granivore",1984,5,0,0,0
80,"control","small_granivore",1984,7,2,30,85.8099189556116
81,"control","small_granivore",1984,7,0,0,0
81,"control","small_granivore",1984,8,0,0,0
82,"control","small_granivore",1984,8,1,22,57.8001914615828
83,"control","small_granivore",1984,9,0,0,0
84,"control","small_granivore",1984,10,1,20,53.8126975522807
85,"control","small_granivore",1984,12,1,14,41.1820814442282
86,"control","small_granivore",1985,1,3,50,140.006008934039
87,"control","small_granivore",1985,2,1,40,90.5018089336904
88,"control","small_granivore",1985,3,1,5,19.0256616765792
89,"control","small_granivore",1985,5,1,13,38.9555894891111
90,"control","small_granivore",1985,6,0,0,0
91,"control","small_granivore",1985,7,1,23,59.7596635079572
92,"control","small_granivore",1985,8,0,0,0
93,"control","small_granivore",1985,9,4,79,207.972676444848
94,"control","small_granivore",1985,10,3,55,151.229973163233
95,"control","small_granivore",1985,11,4,68,188.973341036467
96,"control","small_granivore",1985,12,3,37,109.179816325751
97,"control","small_granivore",1986,3,4,63,178.930028751737
98,"control","small_granivore",1986,4,0,0,0
99,"control","small_granivore",1986,5,4,72,197.811911530621
100,"control","small_granivore",1986,6,0,0,0
101,"control","small_granivore",1986,7,1,23,59.7596635079572
102,"control","small_granivore",1986,8,0,0,0
103,"control","small_granivore",1986,9,0,0,0
104,"control","small_granivore",1986,10,2,34,94.4860089340385
105,"control","small_granivore",1986,11,3,37,112.236098384001
106,"control","small_granivore",1986,12,2,27,80.1376709333393
107,"control","small_granivore",1987,1,2,24,73.3716349449114
107,"control","small_granivore",1987,2,2,44,115.510642358761
108,"control","small_granivore",1987,3,3,47,132.352532894503
109,"control","small_granivore",1987,4,4,80,213.78173488551
110,"control","small_granivore",1987,4,4,82,218.695114850677
111,"control","small_granivore",1987,5,3,61,163.296428318502
112,"control","small_granivore",1987,6,3,58,156.987638475322
112,"control","small_granivore",1987,7,0,0,0
113,"control","small_granivore",1987,7,6,114.98281643,310.486827052619
114,"control","small_granivore",1987,8,4,67,186.27543855833
115,"control","small_granivore",1987,9,4,70,192.602369050424
116,"control","small_granivore",1987,10,8,166,438.905342850265
117,"control","small_granivore",1987,11,12,194,543.541449328678
118,"control","small_granivore",1988,1,6,98,272.495428601881
119,"control","small_granivore",1988,2,3,53,145.144087751901
120,"control","small_granivore",1988,3,4,49,148.086709532243
121,"control","small_granivore",1988,4,2,33,92.5041344311984
122,"control","small_granivore",1988,5,3,48,136.176860440737
123,"control","small_granivore",1988,6,3,64,169.078908404387
124,"control","small_granivore",1988,7,2,29,84.0922667255809
125,"control","small_granivore",1988,8,3,66,172.715545799711
126,"control","small_granivore",1988,9,2,30,86.7020814442282
127,"control","small_granivore",1988,10,0,0,0
128,"control","small_granivore",1988,11,4,64,180.29592788965
129,"control","small_granivore",1988,12,9,118,347.907072391052
130,"control","small_granivore",1989,1,9,135,385.726991873122
131,"control","small_granivore",1989,2,14,193,560.550193547088
132,"control","small_granivore",1989,3,8,135,374.214643836166
133,"control","small_granivore",1989,4,6,85,246.355520549954
134,"control","small_granivore",1989,5,1,11,34.3681994673169
135,"control","small_granivore",1989,6,2,28,81.7212886615949
136,"control","small_granivore",1989,7,1,16,45.52
137,"control","small_granivore",1989,7,4,54.72923441,159.78037247743
138,"control","small_granivore",1989,9,3,51,142.084383052065
139,"control","small_granivore",1989,10,3,50,140.550957662273
140,"control","small_granivore",1989,11,5,63,189.024725469109
141,"control","small_granivore",1989,12,9,86,277.114413914774
142,"control","small_granivore",1990,1,2,21,66.3654208706477
143,"control","small_granivore",1990,1,2,19,61.5633286885316
144,"control","small_granivore",1990,2,4,52,153.32021359982
145,"control","small_granivore",1990,3,6,73,220.546380103369
146,"control","small_granivore",1990,4,0,0,0
147,"control","small_granivore",1990,5,0,0,0
148,"control","small_granivore",1990,6,0,0,0
149,"control","small_granivore",1990,7,0,0,0
150,"control","small_granivore",1990,8,0,0,0
151,"control","small_granivore",1990,9,0,0,0
152,"control","small_granivore",1990,10,0,0,0
153,"control","small_granivore",1990,11,0,0,0
154,"control","small_granivore",1990,12,3,25,83.6988151601246
155,"control","small_granivore",1991,1,1,10,31.9972214033309
1,"exclosure_1977","grasshopper",1977,7,0,0,0
2,"exclosure_1977","grasshopper",1977,8,0,0,0
3,"exclosure_1977","grasshopper",1977,9,0,0,0
4,"exclosure_1977","grasshopper",1977,10,0,0,0
5,"exclosure_1977","grasshopper",1977,11,3,93.38015931,224.948726045164
6,"exclosure_1977","grasshopper",1977,12,4,96.22398308,247.223506391449
7,"exclosure_1977","grasshopper",1978,1,3,79.23871131,198.594661877446
8,"exclosure_1977","grasshopper",1978,2,4,94.05599577,243.023148420257
9,"exclosure_1977","grasshopper",1978,3,4,96.11199154,246.927175768285
10,"exclosure_1977","grasshopper",1978,4,1,23,59.7596635079572
11,"exclosure_1977","grasshopper",1978,5,1,29,71.1067394489141
12,"exclosure_1977","grasshopper",1978,6,2,41,107.79255692137
13,"exclosure_1977","grasshopper",1978,7,0,0,0
14,"exclosure_1977","grasshopper",1978,8,3,51,142.280353671441
15,"exclosure_1977","grasshopper",1978,9,3,79,198.353824328053
