"period","censusdate","era","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","nplots"
119,1988-02-21,"a_pre_ba","CC",377.915491608485,317.554606373669,60.3608852348153,0,0,3
119,1988-02-21,"a_pre_ba","EC",352.251976364343,205.7901556558,146.461820708543,0,0,3
119,1988-02-21,"a_pre_ba","XC",302.944688386028,139.68106933186,163.263619054167,0,0,3
120,1988-03-20,"a_pre_ba","CC",497.093795475232,414.373930578182,82.7198648970501,0,16.574689086088,3
120,1988-03-20,"a_pre_ba","EC",95.3277465862451,34.0458675395383,61.2818790467068,0,0,3
120,1988-03-20,"a_pre_ba","XC",326.65300450781,138.735569134846,187.917435372964,0,0,3
121,1988-04-17,"a_pre_ba","CC",315.662302784763,284.827591307697,30.8347114770661,0,18.6061056529142,3
121,1988-04-17,"a_pre_ba","EC",63.48471791902,0,63.48471791902,0,0,3
121,1988-04-17,"a_pre_ba","XC",158.812325954572,0,158.812325954572,0,0,3
122,1988-05-14,"a_pre_ba","CC",343.108909839716,325.171343988956,17.9375658507602,0,17.9375658507602,3
122,1988-05-14,"a_pre_ba","EC",95.7938885556901,57.9210524155816,37.8728361401085,0,0,3
122,1988-05-14,"a_pre_ba","XC",27.3352329966698,0,27.3352329966698,0,0,3
123,1988-06-11,"a_pre_ba","CC",392.623357878579,353.524334626018,39.0990232525608,0,17.260612882235,3
123,1988-06-11,"a_pre_ba","EC",130.003164639354,0,130.003164639354,0,19.2667304871943,3
123,1988-06-11,"a_pre_ba","XC",142.443419668864,0,142.443419668864,0,39.8327120893543,3
124,1988-07-14,"a_pre_ba","CC",316.186245217843,284.438222798422,31.7480224194214,0,16.574689086088,3
124,1988-07-14,"a_pre_ba","EC",98.9034587305972,0,98.9034587305972,0,57.1320991418142,3
124,1988-07-14,"a_pre_ba","XC",117.003276498941,0,117.003276498941,0,18.6061056529142,3
125,1988-08-09,"a_pre_ba","CC",445.484025722675,400.888179843771,44.5958458789047,0,15.8791665075641,3
125,1988-08-09,"a_pre_ba","EC",168.831297175903,0,168.831297175903,0,52.8446039331825,3
125,1988-08-09,"a_pre_ba","XC",99.4124045841002,0,99.4124045841002,0,35.7990543435499,3
126,1988-09-11,"a_pre_ba","CC",240.565379201482,211.664685386739,28.9006938147427,0,15.1733333333333,3
126,1988-09-11,"a_pre_ba","EC",109.240436590731,0,109.240436590731,0,53.4221196319883,3
126,1988-09-11,"a_pre_ba","XC",96.736020887104,0,96.736020887104,0,19.2667304871943,3
127,1988-10-08,"a_pre_ba","CC",439.300781627266,439.300781627266,0,0,0,3
127,1988-10-08,"a_pre_ba","EC",150.195723149569,0,150.195723149569,0,15.1733333333333,3
127,1988-10-08,"a_pre_ba","XC",96.1337956927952,0,96.1337956927952,0,0,3
128,1988-11-05,"a_pre_ba","CC",415.065726476446,303.934951045892,111.130775430555,0,0,3
128,1988-11-05,"a_pre_ba","EC",188.178055150402,34.0458675395383,154.132187610864,0,0,3
128,1988-11-05,"a_pre_ba","XC",237.860030568133,32.4026492006822,205.457381367451,0,0,3
129,1988-12-13,"a_pre_ba","CC",468.035936229917,334.61458490766,133.421351322257,0,0,3
129,1988-12-13,"a_pre_ba","EC",187.043384860397,67.5411330823118,119.502251778085,0,0,3
129,1988-12-13,"a_pre_ba","XC",263.006487595447,0,263.006487595447,0,0,3
130,1989-01-10,"a_pre_ba","CC",362.572989605852,266.613637374271,95.9593522315811,0,0,3
130,1989-01-10,"a_pre_ba","EC",146.574246346928,0,146.574246346928,0,0,3
130,1989-01-10,"a_pre_ba","XC",334.03044268406,64.7927396378078,269.237703046252,0,0,3
131,1989-02-04,"a_pre_ba","CC",500.843938411718,338.023468736194,162.820469675524,0,0,3
131,1989-02-04,"a_pre_ba","EC",209.568430249735,0,209.568430249735,0,0,3
131,1989-02-04,"a_pre_ba","XC",307.57945532235,60.8286059443238,246.750849378026,0,0,3
132,1989-03-12,"a_pre_ba","CC",417.377220194532,282.455367861537,134.921852332995,0,0,3
132,1989-03-12,"a_pre_ba","EC",189.282032505148,0,189.282032505148,0,0,3
132,1989-03-12,"a_pre_ba","XC",312.556606032533,0,312.556606032533,0,20.5659816021601,3
133,1989-04-01,"a_pre_ba","CC",287.103040029965,213.277036918672,73.8260031112928,0,0,3
133,1989-04-01,"a_pre_ba","EC",118.427755221278,0,118.427755221278,0,15.1733333333333,3
133,1989-04-01,"a_pre_ba","XC",365.932186907391,34.5877204108605,331.34446649653,0,40.4721084738173,3
134,1989-05-09,"a_pre_ba","CC",292.495310145358,253.226263359043,39.2690467863141,0,0,3
134,1989-05-09,"a_pre_ba","EC",216.361674631803,0,216.361674631803,0,53.7879562516642,3
134,1989-05-09,"a_pre_ba","XC",137.716457151475,34.5877204108605,103.128736740614,0,0,3
135,1989-06-03,"a_pre_ba","CC",328.266517130613,260.076202774739,68.1903143558741,0,0,3
135,1989-06-03,"a_pre_ba","EC",150.167455619094,0,150.167455619094,0,0,3
135,1989-06-03,"a_pre_ba","XC",121.377150840156,0,121.377150840156,0,19.2667304871943,3
136,1989-07-03,"a_pre_ba","CC",263.062118266277,225.766977976061,37.2951402902159,0,15.1733333333333,3
136,1989-07-03,"a_pre_ba","EC",78.5483110479757,0,78.5483110479757,0,0,3
136,1989-07-03,"a_pre_ba","XC",131.130156634415,0,131.130156634415,0,15.8791665075641,3
137,1989-07-29,"a_pre_ba","CC",407.450036658953,398.427918679799,9.02211797915398,0,0,3
137,1989-07-29,"a_pre_ba","EC",104.91833770777,0,104.91833770777,0,45.1869662322469,3
137,1989-07-29,"a_pre_ba","XC",104.479819211845,0,104.479819211845,0,15.8791665075641,3
138,1989-09-03,"a_pre_ba","CC",292.138141523847,292.138141523847,0,0,0,3
138,1989-09-03,"a_pre_ba","EC",86.3214834727755,0,86.3214834727755,0,46.910232278651,3
138,1989-09-03,"a_pre_ba","XC",0,0,0,0,0,3
139,1989-10-07,"a_pre_ba","CC",371.088977321707,347.610482657554,23.4784946641528,0,0,3
139,1989-10-07,"a_pre_ba","EC",150.656731482009,30.1672696445635,120.489461837446,0,58.4857867339056,3
139,1989-10-07,"a_pre_ba","XC",100.784307496231,40.888807941399,59.8954995548323,0,0,3
140,1989-11-04,"a_pre_ba","CC",522.71282104144,444.239772569328,78.4730484721121,0,0,3
140,1989-11-04,"a_pre_ba","EC",129.549112340493,0,129.549112340493,0,28.1837371664082,3
140,1989-11-04,"a_pre_ba","XC",188.005723719937,0,188.005723719937,0,0,3
141,1989-12-04,"a_pre_ba","CC",553.844281650398,435.02794567153,118.816335978868,0,0,3
141,1989-12-04,"a_pre_ba","EC",101.648787379809,0,101.648787379809,0,15.8791665075641,3
141,1989-12-04,"a_pre_ba","XC",164.181641458503,0,164.181641458503,0,0,3
142,1990-01-06,"a_pre_ba","CC",402.831201044225,370.80915295296,32.0220480912657,0,0,3
142,1990-01-06,"a_pre_ba","EC",127.157518584858,0,127.157518584858,0,13.7273604814094,3
142,1990-01-06,"a_pre_ba","XC",65.4634367597824,0,65.4634367597824,0,0,3
143,1990-01-29,"a_pre_ba","CC",398.406122717096,377.885013154252,20.5211095628439,0,0,3
143,1990-01-29,"a_pre_ba","EC",152.866569484091,0,152.866569484091,0,0,3
143,1990-01-29,"a_pre_ba","XC",151.623231791855,0,151.623231791855,0,0,3
144,1990-02-24,"a_pre_ba","CC",549.576855423492,519.200376765581,30.3764786579108,0,0,3
144,1990-02-24,"a_pre_ba","EC",114.587890305363,0,114.587890305363,0,0,3
144,1990-02-24,"a_pre_ba","XC",165.226085308326,0,165.226085308326,0,0,3
145,1990-03-29,"a_pre_ba","CC",575.958406938302,518.22508606963,57.7333208686723,0,0,3
145,1990-03-29,"a_pre_ba","EC",105.096209746848,0,105.096209746848,0,0,3
145,1990-03-29,"a_pre_ba","XC",200.548913319268,32.4026492006822,168.146264118585,0,0,3
146,1990-04-24,"a_pre_ba","CC",634.007799902051,634.007799902051,0,0,0,3
146,1990-04-24,"a_pre_ba","EC",115.462428578597,0,115.462428578597,0,49.0285446797402,3
146,1990-04-24,"a_pre_ba","XC",52.4553605202091,0,52.4553605202091,0,0,3
147,1990-05-23,"a_pre_ba","CC",482.279912441451,482.279912441451,0,0,0,3
147,1990-05-23,"a_pre_ba","EC",46.3827124644961,0,46.3827124644961,0,17.260612882235,3
147,1990-05-23,"a_pre_ba","XC",32.7497153869958,0,32.7497153869958,0,0,3
148,1990-06-21,"a_pre_ba","CC",482.824892390107,482.824892390107,0,0,0,3
148,1990-06-21,"a_pre_ba","EC",42.9540745771382,0,42.9540745771382,0,26.629399822439,3
148,1990-06-21,"a_pre_ba","XC",58.004702289979,0,58.004702289979,0,0,3
149,1990-07-21,"a_pre_ba","CC",393.924142400868,393.924142400868,0,0,0,3
149,1990-07-21,"a_pre_ba","EC",96.9000013086467,0,96.9000013086467,0,64.1932110162352,3
149,1990-07-21,"a_pre_ba","XC",25.5184032148994,25.5184032148994,0,0,0,3
150,1990-08-16,"a_pre_ba","CC",447.318135364562,447.318135364562,0,0,0,3
150,1990-08-16,"a_pre_ba","EC",90.1813917818548,0,90.1813917818548,0,48.2396154182577,3
150,1990-08-16,"a_pre_ba","XC",33.8167323583244,0,33.8167323583244,0,33.8167323583244,3
151,1990-09-22,"a_pre_ba","CC",373.873949230102,373.873949230102,0,0,0,3
151,1990-09-22,"a_pre_ba","EC",87.232186790242,0,87.232186790242,0,59.1499615769066,3
151,1990-09-22,"a_pre_ba","XC",72.8304442730245,0,72.8304442730245,0,15.8791665075641,3
152,1990-10-15,"a_pre_ba","CC",617.380435003318,617.380435003318,0,0,0,3
152,1990-10-15,"a_pre_ba","EC",46.0351735174581,0,46.0351735174581,0,0,3
152,1990-10-15,"a_pre_ba","XC",110.344360682093,33.501124547073,76.8432361350201,0,16.574689086088,3
153,1990-11-10,"a_pre_ba","CC",488.279522143623,488.279522143623,0,0,0,3
153,1990-11-10,"a_pre_ba","EC",20.4781844682596,0,20.4781844682596,0,0,3
153,1990-11-10,"a_pre_ba","XC",115.518582180704,0,115.518582180704,0,0,3
154,1990-12-15,"a_pre_ba","CC",723.622917382261,714.600799403107,9.02211797915398,0,0,3
154,1990-12-15,"a_pre_ba","EC",149.215353599121,0,149.215353599121,0,0,3
154,1990-12-15,"a_pre_ba","XC",116.790970846025,0,116.790970846025,0,0,3
155,1991-01-11,"a_pre_ba","CC",595.916181182588,545.061518056417,50.8546631261704,0,0,3
155,1991-01-11,"a_pre_ba","EC",112.962057866228,0,112.962057866228,0,0,3
155,1991-01-11,"a_pre_ba","XC",137.829313743118,0,137.829313743118,0,14.4563766849988,3
156,1991-02-16,"a_pre_ba","CC",598.602922578943,598.602922578943,0,0,0,3
156,1991-02-16,"a_pre_ba","EC",74.4544075754833,0,74.4544075754833,0,0,3
156,1991-02-16,"a_pre_ba","XC",241.374366889831,77.6327704519656,163.741596437866,0,0,3
157,1991-03-13,"a_pre_ba","CC",641.376888817174,631.521519722107,9.85536909506691,0,0,3
157,1991-03-13,"a_pre_ba","EC",127.59401345108,0,127.59401345108,0,0,3
157,1991-03-13,"a_pre_ba","XC",115.691496649311,0,115.691496649311,0,0,3
158,1991-04-19,"a_pre_ba","CC",486.650794672187,468.713228821427,17.9375658507602,0,0,3
158,1991-04-19,"a_pre_ba","EC",93.7616378870336,0,93.7616378870336,0,15.1733333333333,3
158,1991-04-19,"a_pre_ba","XC",68.3542239825872,0,68.3542239825872,0,0,3
159,1991-05-13,"a_pre_ba","CC",418.515349067882,374.625336363208,43.8900127046739,0,32.4339462155683,3
159,1991-05-13,"a_pre_ba","EC",55.4687838194424,0,55.4687838194424,0,30.3466666666667,3
