"","year","month","mintemp","maxtemp","meantemp","precipitation","locally_measured","battery_low","warm_days","cool_precip","warm_precip","anomaly_ppt","anomaly_mint","anomaly_maxt","anomaly_meant","date","numdate","datestr","newdate","precip_interp","temp_interp","thorn","cbal","spei1","spei6","spei12","spei18","oera"
"1",1989,1,2.47096774193548,14.7903225806452,2.36451612903226,30.226,TRUE,NA,278.483870967742,84.4509032258064,387.309032258065,1.32222222222222,3.97096774193548,-0.509677419354839,-4.53548387096774,1989-01-01,6940,"1989-01-1",1989-01-01,30.226,2.36451612903226,1.18803327194679,29.0379667280532,1.11196036648473,NA,NA,NA,"a"
"2",1989,2,5.38928571428571,17.95,8.175,6.842,TRUE,NA,285.428571428571,68.0447857142857,379.994714285714,0.349438202247191,5.48928571428571,0.349999999999998,-0.625,1989-02-01,6971,"1989-01-2",1989-02-01,6.842,8.175,12.1070787415295,-5.2650787415295,-0.0725122379604296,NA,NA,NA,"a"
"3",1989,3,6.41935483870968,23.0387096774194,13.9645161290323,19.624,TRUE,NA,287.935483870968,63.4730322580645,380.304709677419,1.21135802469136,4.11935483870968,2.03870967741936,2.26451612903226,1989-03-01,6999,"1989-01-3",1989-03-01,19.624,13.9645161290323,40.3045278528198,-20.6805278528198,0.520228857899246,NA,NA,NA,"a"
"4",1989,4,13.4766666666667,28.7933333333333,21.2066666666667,0,TRUE,NA,285,63.744,380.645133333333,0,8.17666666666667,3.39333333333333,5.80666666666667,1989-04-01,7030,"1989-01-4",1989-04-01,0,21.2066666666667,93.7874125673108,-93.7874125673108,-1.68694053928218,NA,NA,NA,"a"
"5",1989,5,14.9387096774194,30.4451612903226,24.5322580645161,2.794,TRUE,NA,285,63.744,369.343225806452,0.382216142270862,4.93870967741936,0.245161290322581,4.43225806451613,1989-05-01,7060,"1989-01-5",1989-05-01,2.794,24.5322580645161,135.918814196344,-133.124814196344,-0.99751444202678,NA,NA,NA,"a"
"6",1989,6,17.7583333333333,35.3976666666667,27.7731891025641,0,TRUE,NA,285,63.744,366.742866666667,0,2.85833333333333,0.897666666666666,3.0731891025641,1989-06-01,7091,"1989-01-6",1989-06-01,0,27.7731891025641,171.250862645906,-171.250862645906,-0.378942661969673,-0.488774066711208,NA,NA,"a"
"7",1989,7,19.62,35.01,27.015685483871,93.218,TRUE,NA,285,63.744,329.235806451613,1.24092119275825,1.42,0.809999999999995,0.815685483870968,1989-07-01,7121,"1989-01-7",1989-07-01,93.218,27.015685483871,165.990126152896,-72.7721261528958,0.790778980362234,-0.366520534203051,NA,NA,"a"
"8",1989,8,17.7990322580645,30.9909677419355,23.9493279569892,24.13,TRUE,NA,285,63.744,264.818129032258,0.371287890444684,0.399032258064516,-1.40903225806451,-0.950672043010751,1989-08-01,7152,"1989-01-8",1989-08-01,24.13,23.9493279569892,125.657902142921,-101.527902142921,-0.131233956293771,-0.355962575585781,NA,NA,"a"
"9",1989,9,15.1066666666667,31.347,22.9512222222222,15.494,TRUE,NA,285,63.744,224.375866666667,0.481030735796336,0.806666666666665,0.447000000000003,0.351222222222219,1989-09-01,7183,"1989-01-9",1989-09-01,15.494,22.9512222222222,104.02769374885,-88.5336937488502,-0.317110339645809,-0.555340702138456,NA,NA,"a"
"10",1989,10,9.92877419354839,25.5554838709677,17.3419663978495,28.702,TRUE,NA,284.741935483871,63.744,206.512838709677,0.905425867507886,1.92877419354839,-0.644516129032258,0.24196639784946,1989-10-01,7213,"1989-01-10",1989-10-01,28.702,17.3419663978495,57.8693423634562,-29.1673423634562,0.727373064334394,-0.126287362239845,NA,NA,"a"
"11",1989,11,4.00686666666667,20.763,11.9850055555556,0,TRUE,NA,279.9,62.2623333333333,182.432,0,2.20686666666667,0.662999999999997,1.08500555555555,1989-11-01,7244,"1989-01-11",1989-11-01,0,11.9850055555556,25.748890072611,-25.748890072611,-0.728028577359589,-0.0960373718444226,NA,NA,"a"
"12",1989,12,-1.12864516129032,14.9406451612903,6.07656317204301,2.286,TRUE,NA,277.032258064516,43.850064516129,182.432,0.0704251386321627,0.571354838709677,-0.159354838709676,-0.623436827956989,1989-12-01,7274,"1989-01-12",1989-12-01,2.286,6.07656317204301,7.04215059032588,-4.75615059032588,-0.824172066291345,-0.285513954432487,-0.522934499774499,NA,"a"
"13",1990,1,-1.10509677419355,14.8443870967742,6.27597446236559,11.43,TRUE,NA,273.516129032258,24.038064516129,182.358258064516,0.5,0.394903225806452,-0.455612903225807,-0.624025537634409,1990-01-01,7305,"1990-01-1",1990-01-01,11.43,6.27597446236559,7.62546571149032,3.80453428850968,-0.00964830853726846,-0.568176853069602,-0.638786428294271,NA,"a"
"14",1990,2,0.301285714285714,15.9096428571429,7.83427976190476,20.32,TRUE,NA,266.142857142857,30.0164285714286,183.899928571429,1.03779366700715,0.401285714285714,-1.69035714285714,-0.965720238095239,1990-02-01,7336,"1990-01-2",1990-02-01,20.32,7.83427976190476,11.1641497420076,9.15585025799239,0.932073483535779,-0.367973929452303,-0.47792809705985,NA,"a"
"15",1990,3,5.756,20.7906451612903,13.2621935483871,4.064,TRUE,NA,257.193548387097,27.4489677419355,185.101935483871,0.250864197530864,3.456,-0.209354838709679,1.5621935483871,1990-03-01,7364,"1990-01-3",1990-03-01,4.064,13.2621935483871,36.5317555567856,-32.4677555567856,-0.224494935696134,-0.226226506099407,-0.606155920348022,NA,"a"
"16",1990,4,10.0393333333333,26.148,18.5582291666667,3.556,TRUE,NA,257.066666666667,27.178,176.089733333333,0.405936073059361,4.73933333333333,0.748000000000001,3.15822916666667,1990-04-01,7395,"1990-01-4",1990-04-01,3.556,18.5582291666667,72.744367018344,-69.188367018344,-0.342052137076024,-0.494953994451524,-0.414102834428374,NA,"a"
"17",1990,5,12.681935483871,29.2377419354839,21.7627392473118,3.556,TRUE,NA,256.064516129032,27.178,181.028258064516,0.486456908344733,2.68193548387097,-0.962258064516128,1.66273924731183,1990-05-01,7425,"1990-01-5",1990-05-01,3.556,21.7627392473118,108.191780815373,-104.635780815373,0.475663542811902,-0.169303926921497,-0.14490121012137,NA,"a"
"18",1990,6,20.1596666666667,37.456,29.4534861111111,16.764,TRUE,NA,256,27.178,185.868733333333,1.48748890860692,5.25966666666667,2.956,4.75348611111111,1990-06-01,7456,"1990-01-6",1990-06-01,16.764,29.4534861111111,191.523097702855,-174.759097702855,-0.556181454978525,-0.0429027473312733,-0.197543840390581,-0.348962613565152,"a"
"19",1990,7,18.7570967741935,31.6709677419355,24.5805241935484,83.058,TRUE,NA,256,27.178,216.768516129032,1.10567092651757,0.55709677419355,-2.52903225806452,-1.61947580645161,1990-07-01,7486,"1990-01-7",1990-07-01,83.058,24.5805241935484,138.658327913216,-55.6003279132157,1.13242764865198,0.747737817912502,-0.0630972940189978,-0.17913884550803,"a"
"20",1990,8,17.0896774193548,29.7335483870968,22.9292338709677,63.5,TRUE,NA,256,27.178,218.980774193548,0.977073395907063,-0.31032258064516,-2.66645161290322,-1.97076612903226,1990-08-01,7517,"1990-01-8",1990-08-01,63.5,22.9292338709677,115.660611465641,-52.1606114656414,1.05729017129223,0.910756559643969,0.28285325220589,0.0730380917274794,"a"
"21",1990,9,16.8453333333333,29.879,23.1101666666667,46.228,TRUE,NA,256,27.178,229.167266666667,1.43520645762186,2.54533333333333,-1.021,0.510166666666667,1990-09-01,7548,"1990-01-9",1990-09-01,46.228,23.1101666666667,105.404117787136,-59.1761177871365,0.603563920589413,0.948704392812518,0.520980232753803,0.106444813103736,"a"
"22",1990,10,9.63538709677419,25.9477419354839,17.6300161290323,12.446,TRUE,NA,254.870967741935,27.178,244.028451612903,0.392618296529968,1.63538709677419,-0.252258064516127,0.530016129032255,1990-10-01,7578,"1990-01-10",1990-10-01,12.446,17.6300161290323,59.7138155317311,-47.2678155317311,0.117488923035837,0.95575903173808,0.473770864821184,0.232175064018514,"a"
"23",1990,11,4.3897,18.9803333333333,11.3182083333333,49.784,TRUE,NA,253.833333333333,50.0464666666667,245.702666666667,2.40386286817962,2.5897,-1.11966666666667,0.418208333333332,1990-11-01,7609,"1990-01-11",1990-11-01,49.784,11.3182083333333,23.0891995639051,26.6948004360949,1.4328523471697,1.19977400164981,0.911668770236136,0.609048932423601,"a"
"24",1990,12,-0.304161290322581,13.2389032258065,5.71697715053763,26.924,TRUE,NA,256.870967741935,71.292064516129,255.286387096774,0.829451632778805,1.39583870967742,-1.86109677419355,-0.983022849462365,1990-12-01,7639,"1990-01-12",1990-12-01,26.924,5.71697715053763,6.26973587882584,20.6542641211742,0.453510830166023,1.27028024755745,1.10088791534332,0.721317268527389,"a"
"25",1991,1,0.79158064516129,13.6011935483871,6.51977284946237,23.876,TRUE,NA,260.870967741935,77.5683225806452,271.771806451613,1.04444444444444,2.29158064516129,-1.6988064516129,-0.380227150537634,1991-01-01,7670,"1991-01-1",1991-01-01,23.876,6.51977284946237,8.19955192545051,15.6764480745495,0.588603453410059,0.964120702376731,1.10341179593947,0.593702903011885,"a"
"26",1991,2,3.50910714285714,17.6989285714286,10.3266666666667,25.654,TRUE,NA,263.464285714286,70.2491428571429,281.286857142857,1.31021450459653,3.60910714285714,0.0989285714285693,1.52666666666667,1991-02-01,7701,"1991-01-2",1991-02-01,25.654,10.3266666666667,18.893159724836,6.76084027516398,0.7810650321902,0.78966350732317,1.05777259391172,0.752721534117794,"a"
"27",1991,3,2.27490322580645,17.7254838709677,10.261314516129,25.654,TRUE,NA,265.483870967742,74.5858709677419,296.229548387097,1.58358024691358,-0.0250967741935484,-3.27451612903226,-1.43868548387097,1991-03-01,7729,"1991-01-3",1991-03-01,25.654,10.261314516129,22.4116364003942,3.24236359960582,1.57768161775258,0.980665319639089,1.24283253754924,1.01002855971569,"a"
