"period","brown_trtmnt","type","year","month","nind","biomass","energy"
2,"dipo_present","dipo",1977,8,12,659.49120365,1347.44154942259
3,"dipo_present","dipo",1977,9,14,840.7826812,1680.36487024335
4,"dipo_present","dipo",1977,10,15,1095.5653624,2078.49287433486
5,"dipo_present","dipo",1977,11,13,912.9275604,1745.97494938804
6,"dipo_present","dipo",1977,12,17,1438,2626.82726429979
7,"dipo_present","dipo",1978,1,12,945,1748.66772843221
8,"dipo_present","dipo",1978,2,10,794.52721657,1469.73066467265
9,"dipo_present","dipo",1978,3,11,948.52721657,1725.48577624361
10,"dipo_present","dipo",1978,4,13,1155.52721657,2089.47467238452
11,"dipo_present","dipo",1978,5,15,1079,2049.72273317173
12,"dipo_present","dipo",1978,6,18,1274,2425.68641430823
13,"dipo_present","dipo",1978,7,19,1375,2612.98034893514
14,"dipo_present","dipo",1978,8,16,1125,2141.89379347525
15,"dipo_present","dipo",1978,9,21,1491,2846.92742624989
16,"dipo_present","dipo",1978,10,17,1176,2261.3854471099
17,"dipo_present","dipo",1978,11,14,825,1654.43032957591
18,"dipo_present","dipo",1978,12,10,659,1284.29493375176
19,"dipo_present","dipo",1979,1,8,545,1051.29518884598
20,"dipo_present","dipo",1979,2,10,751,1416.92631457446
21,"dipo_present","dipo",1979,3,10,873.9275604,1603.75907889328
22,"dipo_present","dipo",1979,4,11,765,1475.62037848109
23,"dipo_present","dipo",1979,5,12,823,1588.13789724612
24,"dipo_present","dipo",1979,7,11,821,1560.15169466959
25,"dipo_present","dipo",1979,7,8,670,1235.77857465964
26,"dipo_present","dipo",1979,8,9,687,1292.81575549776
27,"dipo_present","dipo",1979,9,8,511,1001.99987845037
28,"dipo_present","dipo",1979,10,12,776,1511.91742896091
29,"dipo_present","dipo",1979,11,13,830,1617.51959251623
30,"dipo_present","dipo",1980,1,19,1011,2087.14581538006
31,"dipo_present","dipo",1980,2,13,704,1433.81868660469
32,"dipo_present","dipo",1980,3,11,751,1456.89903729032
33,"dipo_present","dipo",1980,4,13,963,1822.1706688062
34,"dipo_present","dipo",1980,5,13,849,1653.60216957863
35,"dipo_present","dipo",1980,6,18,1081,2148.64932430097
1,"dipo_absent","small_granivore",1977,7,0,0,0
2,"dipo_absent","small_granivore",1977,8,0,0,0
3,"dipo_absent","small_granivore",1977,9,1,15,43.3691300549964
4,"dipo_absent","small_granivore",1977,10,1,13,38.9555894891111
5,"dipo_absent","small_granivore",1977,11,0,0,0
6,"dipo_absent","small_granivore",1977,12,1,7,24.4870121320489
7,"dipo_absent","small_granivore",1978,1,1,7,24.4870121320489
8,"dipo_absent","small_granivore",1978,2,0,0,0
9,"dipo_absent","small_granivore",1978,3,2,15.899749373,53.87792428309
10,"dipo_absent","small_granivore",1978,4,0,0,0
11,"dipo_absent","small_granivore",1978,5,0,0,0
12,"dipo_absent","small_granivore",1978,6,1,8,27.0663539374619
13,"dipo_absent","small_granivore",1978,7,3,30,95.7493928132485
14,"dipo_absent","small_granivore",1978,8,5,76,217.030672431366
15,"dipo_absent","small_granivore",1978,9,7,69,218.294909021137
16,"dipo_absent","small_granivore",1978,10,5,46,146.869869539934
17,"dipo_absent","small_granivore",1978,11,2,12,43.6270351579355
18,"dipo_absent","small_granivore",1978,12,2,15,51.5533660695108
19,"dipo_absent","small_granivore",1979,1,0,0,0
20,"dipo_absent","small_granivore",1979,2,1,24,61.6979448064802
21,"dipo_absent","small_granivore",1979,3,0,0,0
22,"dipo_absent","small_granivore",1979,4,2,33,93.0931973132604
23,"dipo_absent","small_granivore",1979,5,3,41,118.995345186245
24,"dipo_absent","small_granivore",1979,7,4,45,138.255447513739
25,"dipo_absent","small_granivore",1979,7,5,62.899749373,188.705468802954
26,"dipo_absent","small_granivore",1979,8,1,15,43.3691300549964
27,"dipo_absent","small_granivore",1979,9,2,23,70.0070121320489
28,"dipo_absent","small_granivore",1979,10,3,30,94.4940242640977
29,"dipo_absent","small_granivore",1979,11,6,47,159.288449185306
30,"dipo_absent","small_granivore",1980,1,9,78,257.908751064997
31,"dipo_absent","small_granivore",1980,2,11,93,309.064582661429
32,"dipo_absent","small_granivore",1980,3,13,114.899749373,376.618877511706
33,"dipo_absent","small_granivore",1980,4,8,72,235.932441508753
34,"dipo_absent","small_granivore",1980,5,4,29,100.527390333609
