"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","small_granivore","dipo","type","energy"
2,2,1977-08-19,8,20,1977,"orig_exclosure",19,12,"DM","F",35,43,"0","0",FALSE,TRUE,"dipo",95.5462415403459
2,2,1977-08-19,8,20,1977,"control",11,24,"DS","F",50,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
2,2,1977-08-19,8,20,1977,"control",11,47,"DM","M",37,45,"0","0",FALSE,TRUE,"dipo",98.8602380143538
2,2,1977-08-19,8,20,1977,"control",11,56,"DS","M",43,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
2,2,1977-08-19,8,20,1977,"orig_exclosure",19,56,"DM","M",35,39,"0","0",FALSE,TRUE,"dipo",88.7995411482622
2,2,1977-08-19,8,20,1977,"control",11,62,"PP","M",21,17.61851292,"0","0",TRUE,FALSE,"small_granivore",48.9315759427635
2,2,1977-08-19,8,20,1977,"control",11,67,"DM","F",37,42,"0","0",FALSE,TRUE,"dipo",93.8748452722046
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,12,"DM","F",32,26.39257813,"0","0",FALSE,TRUE,"dipo",66.2557582141462
2,2,1977-08-19,8,21,1977,"orig_exclosure",21,12,"DM","M",34,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",17,16,"DM","M",33,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,25,"NA",NA,NA,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
2,2,1977-08-19,8,21,1977,"new_exclosure",22,25,"DM","F",33,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",17,31,"DM","M",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,32,"DM","M",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"new_exclosure",22,32,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,34,"DM","M",33,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,34,"DM","M",34,26.39257813,"0","0",FALSE,TRUE,"dipo",66.2557582141462
2,2,1977-08-19,8,21,1977,"control",14,36,"DM","F",34,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"new_exclosure",22,37,"DM","M",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"new_exclosure",22,41,"DM","F",33,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,42,"DM","M",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",17,43,"DS","F",45,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,45,"DM","F",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"new_exclosure",22,47,"DM","M",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,52,"PF","M",15,7.899749373,"0","0",TRUE,FALSE,"small_granivore",26.8115703456281
2,2,1977-08-19,8,21,1977,"control",17,61,"DM","F",34,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,63,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",15,64,"DS","M",40,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
2,2,1977-08-19,8,21,1977,"control",14,72,"DM","M",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",21,75,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,76,"DM","M",38,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"orig_exclosure",21,77,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
