"period","trtmnt_1988","type","censusdate","nind","biomass","energy"
1,"control","other",1977-07-16,2,325.0695476,518.026504177937
2,"control","other",1977-08-19,1,162.5347738,259.013252088968
3,"control","other",1977-09-11,2,325.0695476,518.026504177937
4,"control","other",1977-10-16,2,325.0695476,518.026504177937
5,"control","other",1977-11-12,2,325.0695476,518.026504177937
6,"control","other",1977-12-10,2,325.0695476,518.026504177937
7,"control","other",1978-01-08,2,162.5347738,259.013252088968
8,"control","other",1978-02-18,1,218,322.815691313065
9,"control","other",1978-03-11,1,162.5347738,259.013252088968
10,"control","other",1978-04-08,1,162.5347738,259.013252088968
11,"control","other",1978-05-17,0,0,0
12,"control","other",1978-06-08,2,335,527.963646742118
13,"control","other",1978-07-07,0,0,0
14,"control","other",1978-08-04,2,348,544.1376433836
15,"control","other",1978-09-03,1,197,299.200238938645
16,"control","other",1978-10-06,1,162.5347738,259.013252088968
17,"control","other",1978-11-04,2,307,487.690677199744
18,"control","other",1978-12-02,0,0,0
19,"control","other",1979-01-28,0,0,0
20,"control","other",1979-02-24,0,0,0
21,"control","other",1979-03-31,0,0,0
22,"control","other",1979-04-28,2,267,444.425336379271
23,"control","other",1979-05-29,1,184,284.266468135325
24,"control","other",1979-07-03,2,206,309.394565929118
25,"control","other",1979-07-24,0,0,0
26,"control","other",1979-08-21,1,105,186.639791531301
27,"control","other",1979-09-22,0,0,0
28,"control","other",1979-10-24,2,407,606.043751364543
29,"control","other",1979-11-17,2,339,534.112431923955
30,"control","other",1980-01-15,2,371,572.001984079104
31,"control","other",1980-02-24,0,0,0
32,"control","other",1980-03-21,0,0,0
33,"control","other",1980-04-17,0,0,0
34,"control","other",1980-05-17,2,261,434.687279388765
35,"control","other",1980-06-22,0,0,0
36,"control","other",1980-07-21,0,0,0
37,"control","other",1980-08-13,0,0,0
38,"control","other",1980-09-07,0,0,0
39,"control","other",1980-10-11,0,0,0
40,"control","other",1980-11-08,0,0,0
41,"control","other",1980-12-15,0,0,0
42,"control","other",1981-01-11,0,0,0
43,"control","other",1981-01-31,0,0,0
44,"control","other",1981-03-08,0,0,0
45,"control","other",1981-05-03,0,0,0
46,"control","other",1981-06-04,0,0,0
47,"control","other",1981-07-07,2,256,433.051750437308
48,"control","other",1981-07-30,1,175,273.773118465617
49,"control","other",1981-08-30,1,0,0
50,"control","other",1981-09-29,1,208,311.644715912889
51,"control","other",1981-10-24,0,0,0
52,"control","other",1981-11-22,1,192,293.486539779646
