"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","brown_trtmnt","granivore","omnivore","small_granivore","small_omnivore","dipo","offset_year","type","energy"
2,2,1977-08-19,8,20,1977,"control",19,56,"DM","M",35,39,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",88.7995411482622
2,2,1977-08-19,8,20,1977,"control",12,57,"NA",NA,NA,162.5347738,"0","0","dipo_present",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
2,2,1977-08-19,8,20,1977,"control",11,62,"PP","M",21,17.61851292,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",48.9315759427635
2,2,1977-08-19,8,20,1977,"control",11,67,"DM","F",37,42,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",93.8748452722046
2,2,1977-08-19,8,21,1977,"control",15,12,"DM","F",32,26.39257813,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",66.2557582141462
2,2,1977-08-19,8,21,1977,"control",21,12,"DM","M",34,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",15,25,"NA",NA,NA,162.5347738,"0","0","dipo_absent",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
2,2,1977-08-19,8,21,1977,"control",14,32,"DM","M",36,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,34,"DM","M",33,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",15,34,"DM","M",34,26.39257813,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",66.2557582141462
2,2,1977-08-19,8,21,1977,"control",14,36,"DM","F",34,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",15,42,"DM","M",37,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",15,45,"DM","F",35,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",14,52,"PF","M",15,7.899749373,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",26.8115703456281
2,2,1977-08-19,8,21,1977,"control",15,63,"DM","M",35,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
2,2,1977-08-19,8,21,1977,"control",15,64,"DS","M",40,119.9275604,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
